counts,director,genre,quote,rank,rating,runtime,title,url
428377人评价,李力持,1993 / 香港 / 喜剧 爱情 古装,华太师是黄霑，吴镇宇四大才子之一。,143,8.5,102 分钟,唐伯虎点秋香,https://movie.douban.com/subject/1306249/
188112人评价,保罗·格林格拉斯,2004 / 美国 德国 / 动作 悬疑 惊悚,谁说王家卫镜头很晃？,199,8.6,108分钟,谍影重重2,https://movie.douban.com/subject/1308767/
127211人评价,杨德昌,1991 / 台湾 / 剧情 犯罪,弱者送给弱者的一刀。,196,8.8,237分钟(导演剪辑版),牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/
101137人评价,阿米尔·汗,2007 / 印度 / 剧情 儿童 家庭,天使保护事件始末。,197,8.9,165分钟,地球上的星星,https://movie.douban.com/subject/2363506/
197373人评价,保罗·哈吉斯,2004 / 美国 德国 / 犯罪 剧情,天使与魔鬼的冲撞。,198,8.6,112分钟,撞车,https://movie.douban.com/subject/1388216/
256536人评价,保罗·格诺维塞,2016 / 意大利 / 剧情 喜剧,来啊，互相伤害啊！,194,8.6,97分钟,完美陌生人,https://movie.douban.com/subject/26614893/
225940人评价,道格·里曼,2002 / 美国 德国 捷克 / 动作 悬疑 惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,195,8.5,119分钟,谍影重重,https://movie.douban.com/subject/1304102/
99922人评价,严定宪,1979 / 中国大陆 / 冒险 动画 奇幻,想你时你在闹海。,193,8.9,65分钟,哪吒闹海,https://movie.douban.com/subject/1307315/
94745人评价,克里斯托弗·诺兰,1998 / 英国 / 犯罪 悬疑 惊悚,诺兰的牛逼来源于内心散发出的恐惧。,192,8.9,69分钟,追随,https://movie.douban.com/subject/1397546/
142079人评价,迈克尔·柯蒂兹,1942 / 美国 / 剧情 爱情 战争,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,225,8.6,102 分钟,卡萨布兰卡,https://movie.douban.com/subject/1296753/
231929人评价,宫崎骏,1989 / 日本 / 动画 奇幻 冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,191,8.5,103分钟,魔女宅急便,https://movie.douban.com/subject/1307811/
170316人评价,是枝裕和,2015 / 日本 / 剧情 家庭,是枝裕和的家庭习作。,204,8.7,127分钟,海街日记,https://movie.douban.com/subject/25895901/
115796人评价,吕克·贝松,1988 / 法国 美国 意大利 / 剧情 爱情,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,224,8.7,132分钟(法国),碧海蓝天,https://movie.douban.com/subject/1300960/
161504人评价,迈克尔·贝,1996 / 美国 / 动作 冒险,类型片的极致。,221,8.6,136分钟,勇闯夺命岛,https://movie.douban.com/subject/1292728/
243052人评价,吴宇森,1997 / 美国 / 动作 科幻 犯罪 惊悚,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,223,8.4,138分钟,变脸,https://movie.douban.com/subject/1292659/
180561人评价,史蒂文·斯皮尔伯格,1982 / 美国 / 剧情 科幻,生病的E.T.皮肤的颜色就像柿子饼。,222,8.5,115分钟,E.T. 外星人,https://movie.douban.com/subject/1294638/
212201人评价,理查德·沙因克曼,2007 / 美国 / 剧情 科幻,科幻真正的魅力不是视觉效果能取代的。,220,8.5,87 分钟,这个男人来自地球,https://movie.douban.com/subject/2300586/
376132人评价,宁浩,2006 / 中国大陆 香港 / 喜剧 犯罪,中国版《两杆大烟枪》。,215,8.3,106 分钟(香港),疯狂的石头,https://movie.douban.com/subject/1862151/
256203人评价,昆汀·塔伦蒂诺,2009 / 美国 德国 / 剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。,218,8.5,153分钟,无耻混蛋,https://movie.douban.com/subject/1438652/
139180人评价,理查德·林克莱特,2013 / 美国 / 剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,216,8.8,109分钟,爱在午夜降临前,https://movie.douban.com/subject/10808442/
121079人评价,雷德利·斯科特,1991 / 美国 法国 / 犯罪 剧情 惊悚,没有了退路，只好飞向自由。,217,8.7,130 分钟,末路狂花,https://movie.douban.com/subject/1291992/
354407人评价,新海诚,2007 / 日本 / 动画 剧情 爱情,青春就是放弃和怀念。,219,8.3,63分钟,秒速5厘米,https://movie.douban.com/subject/2043546/
54386人评价,查理·卓别林,1931 / 美国 / 喜剧 剧情 爱情,永远的小人物，伟大的卓别林。,213,9.2,87 分钟,城市之光,https://movie.douban.com/subject/1293908/
124813人评价,弗兰克·德拉邦特,1999 / 美国 / 犯罪 剧情 奇幻 悬疑,天使暂时离开。,214,8.7,189 分钟,绿里奇迹,https://movie.douban.com/subject/1300374/
121926人评价,彼得·维纳,2008 / 美国 / 剧情 传记,乐观比一切都有力量。,248,8.6,95分钟,叫我第一名,https://movie.douban.com/subject/4798888/
264502人评价,大卫·林奇,2001 / 法国 美国 / 剧情 悬疑 惊悚,大卫·林奇的梦境迷宫。,249,8.3,147分钟,穆赫兰道,https://movie.douban.com/subject/1292217/
115465人评价,杜琪峰,1999 / 香港 / 剧情 动作 犯罪,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,246,8.7,84分钟(香港),枪火,https://movie.douban.com/subject/1300741/
116616人评价,岩井俊二,1996 / 日本 / 犯罪 剧情,现实与童话交相辉映的旅程。,247,8.6,148分钟,燕尾蝶,https://movie.douban.com/subject/1307793/
114399人评价,斯坦利·库布里克,1968 / 英国 美国 / 科幻 惊悚 冒险,现代科幻电影的开山之作，最伟大导演的最伟大影片。,244,8.7,148分钟,2001太空漫游,https://movie.douban.com/subject/1292226/
97720人评价,加文·欧康诺,2011 / 美国 / 剧情 运动 家庭,热血沸腾，相当完美的娱乐拳击大餐。,245,8.9,140分钟,勇士,https://movie.douban.com/subject/3217169/
158666人评价,罗伯特·泽米吉斯,2000 / 美国 / 冒险 剧情,一个人的独角戏。,243,8.5,143分钟,荒岛余生,https://movie.douban.com/subject/1298653/
